Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
Seedify.fund,SFUND,0.67,0.5,-4.4,-8.1,2324339,34038232,66593771,051,0,0
Guild of Guardians,GOG,0.08,-1.6,8.7,15.4,657148,33690748,83664366,040,0,0
Dust Protocol,DUST,0.96,-4.6,-37.2,-61.0,2239697,33617746,33619948,100,0,0
Refinable,FINE,0.0,-1.6,-2.4,0.5,140551,33475832,0,-,0,0
Bluzelle,BLZ,0.08,0.2,-14.6,54.9,54029696,33402937,40747607,082,0,0
0x0.ai: AI Smart Contract,0X0,0.04,1.0,-13.2,15.0,652006,33352824,37422524,089,0,0
Groestlcoin,GRS,0.4,-0.2,-1.1,11.3,7265963,33329523,42070246,079,0,0
Flamingo Finance,FLM,0.07,-0.7,-3.2,-1.6,1557008,33319657,33319657,100,0,0
Multichain,MULTI,1.72,-0.0,-3.3,-1.5,1468441,33253978,171737209,019,0,0
Telos,TLOS,0.09,-0.1,1.1,-1.3,1039176,33251545,33501251,099,0,0
Sommelier,SOMM,0.14,-1.1,-13.8,19.6,9929757,33169955,72164877,046,0,0
Automata,ATA,0.08,-0.5,-5.2,-2.4,5450095,33123242,82572728,040,0,0
Bit2Me,B2M,0.01,0.0,-2.0,-2.9,405087,33052650,35058784,094,0,0
AscendEx,ASD,0.04,-0.4,-0.3,-6.1,3418258,32953080,32953080,100,0,0
Efinity,EFI,0.05,0.8,2.6,1.5,892071,32835380,100909392,033,0,0
MUX Protocol,MCB,8.63,0.0,-1.4,-16.7,1940080,32832113,41465003,079,0,0
Redacted,BTRFLY,148.74,0.4,4.8,4.8,237674,32528992,96698625,034,0,0
IRISnet,IRIS,0.02,0.1,-0.3,1.0,1098103,32419395,41985376,077,0,0
BakerySwap,BAKE,0.11,-0.5,-6.2,16.7,91245781,32298661,31015716,104,0,0
SelfKey,KEY,0.01,0.2,-2.6,-0.2,2813200,32236633,32236633,100,0,0
dForce USD,USX,1.0,-0.1,-0.1,-1.2,2681099,32210211,161113987,020,0,0
Unizen,ZCX,0.05,-0.0,-2.1,-5.3,619976,32103799,54435051,059,0,0
Biswap,BSW,0.09,0.5,2.3,-1.0,21858582,31799263,59671747,053,0,0
Litentry,LIT,0.69,-0.6,-3.9,1.5,7211738,31544483,68837796,046,0,0
Komodo,KMD,0.22,-0.2,-1.0,-2.0,1301920,31171389,44970508,069,0,0
PLEX,PLEX,0.09,-0.0,-7.0,-12.1,186396,31126094,38002473,082,0,0
TokenPocket Token,TPT,0.01,-0.0,0.5,-2.0,3444526,31098774,52930917,059,0,0
Oraichain,ORAI,2.3,-0.1,-6.4,7.0,680284,31076173,45508845,068,0,0
PlatON Network,LAT,0.01,0.1,-3.9,-6.8,794967,31008796,75486918,041,0,0
Bounce,AUCTION,4.74,-0.7,-4.8,-10.4,3730681,30841851,47448855,065,0,0
Phoenix Global [OLD],PHB,0.01,0.0,0.0,7.5,544845,30753451,30801672,100,0,0
Ethernity Chain,ERN,1.6,-0.2,0.9,1.2,1371655,30701926,48032531,064,0,0
Nakamoto Games,NAKA,0.47,0.1,1.9,-3.7,2148300,30673769,84963297,036,0,0
Polkastarter,POLS,0.31,-0.1,-1.7,-0.7,2044714,30648547,30864155,099,0,0
Saitama,SAITAMA,0.0,-0.1,-0.1,-5.6,421169,30600624,68439656,045,0,0
Utrust,UTK,0.06,-0.6,-3.8,-3.1,1295780,30450939,32394616,094,0,0
Elastos,ELA,1.42,-0.1,-1.1,6.1,296053,30406783,40163994,076,0,0
MELD,MELD,0.02,-0.6,-4.5,-5.1,532710,30392254,63797098,048,0,0
Taraxa,TARA,0.01,-3.6,-12.5,-13.0,2387687,30375649,80690495,038,0,0
Tellor Tributes,TRB,12.19,0.1,-2.4,3.9,5058753,30311306,30497197,099,0,0
Verus Coin,VRSC,0.44,0.6,3.6,-3.5,533200,30238049,36425049,083,0,0
Unifi Protocol DAO,UNFI,4.34,-2.3,4.7,20.9,34344693,30236191,43927251,069,0,0
MOON (Ordinals),MOON,0.3,0.0,-0.0,1.5,968652,30035128,30035128,100,0,0
Bolide,BLID,0.01,0.3,-20.2,-14.5,6350927,29957881,142563679,021,0,0
Travala.com,AVA,0.57,0.4,-2.3,-2.8,1388586,29949623,35067582,085,0,0
cBAT,CBAT,0.0,0.0,-2.0,-2.6,674794,29863759,29863759,100,0,0
Tectonic,TONIC,0.0,-0.2,-0.5,-10.2,3349122,29784411,64792310,046,0,0
Forta,FORT,0.13,0.4,-1.1,-2.2,551024,29722498,126013441,024,0,0
Pluton,PLU,7.24,-0.4,-3.2,-8.8,414242,29710138,144921029,021,0,0
Cortex,CTXC,0.14,-0.5,-2.0,-2.0,4833861,29651792,41480043,071,0,0
Frax Price Index Share,FPIS,1.44,0.0,-1.6,-2.9,0,29483203,143752458,021,0,0
Coinmetro,XCM,0.1,0.1,-9.8,11.0,236772,29401276,31977051,092,0,0
tBTC,TBTC,28128.42,-3.4,-2.0,-3.3,698353,29382896,29369166,100,0,2
AhaToken,AHT,0.01,0.1,-1.3,-4.7,1125577,29358442,77393849,038,0,0
Router Protocol,ROUTE,2.34,0.1,-0.3,-11.9,1116528,29156766,46730138,062,0,0
Altura,ALU,0.04,-0.9,-1.7,-0.6,278774,28942788,39809878,073,0,0
